"TIME","GEO","UNIT","AGE","SEX","Value","Flag and Footnotes"
"2012","Ireland","Number","From 55 to 64 years","Total","2 223",""
"2012","Greece","Number","Total","Total","63 838",""
"2012","Greece","Number","Less than 35 years","Total","11 639",""
"2012","Greece","Number","From 35 to 44 years","Total","21 591",""
"2012","Greece","Number","From 45 to 54 years","Total","14 356",""
"2012","Greece","Number","From 55 to 64 years","Total","12 262",""
"2012","Spain","Number","Total","Total","178 833",""
"2012","Spain","Number","Less than 35 years","Total","40 233",""
"2012","Spain","Number","From 35 to 44 years","Total","46 500",""
"2012","Spain","Number","From 45 to 54 years","Total","49 100",""
"2012","Spain","Number","From 55 to 64 years","Total","36 267",""
"2012","France","Number","Total","Total","201 784",""
"2012","France","Number","Less than 35 years","Total","18 851",""
"2012","France","Number","From 35 to 44 years","Total","37 825",""
"2012","France","Number","From 45 to 54 years","Total","58 595",""
"2012","France","Number","From 55 to 64 years","Total","71 004",""
"2012","Croatia","Number","Total","Total","12 772",""
"2012","Croatia","Number","Less than 35 years","Total","2 780",""
"2012","Croatia","Number","From 35 to 44 years","Total","2 904",""
"2012","Croatia","Number","From 45 to 54 years","Total","3 780",""
"2012","Croatia","Number","From 55 to 64 years","Total","2 963",""
"2012","Italy","Number","Total","Total","230 621","b"
"2012","Italy","Number","Less than 35 years","Total","20 406","b"
"2012","Italy","Number","From 35 to 44 years","Total","37 010","b"
"2012","Italy","Number","From 45 to 54 years","Total","66 281","b"
"2012","Italy","Number","From 55 to 64 years","Total","91 537","b"
"2012","Cyprus","Number","Total","Total",":",""
"2012","Cyprus","Number","Less than 35 years","Total",":",""
"2012","Cyprus","Number","From 35 to 44 years","Total",":",""
"2012","Cyprus","Number","From 45 to 54 years","Total",":",""
"2012","Cyprus","Number","From 55 to 64 years","Total",":",""
"2012","Latvia","Number","Total","Total","6 396",""
"2012","Latvia","Number","Less than 35 years","Total","661",""
